Level,Date and Time,Source,Event ID,Task Category,Log,Computer
Error,10/6/2017 8:32:35 AM,EventCreate,1,None,Application,djkvdihost748.jakarta01.com,JAKARTA01\MFIRMAN  
Error,10/6/2017 8:32:37 AM,EventCreate,1,None,Application,djkvdihost278.jakarta01.com,JAKARTA01\guestisd27  
Error,10/6/2017 8:32:08 AM,EventCreate,1,None,Application,djkvdihost427.jakarta01.com,JAKARTA01\yusi  
Error,10/6/2017 8:32:05 AM,Application Error,1000,(100),Application,djkvdihost427.jakarta01.com,"Faulting application name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Faulting module name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Exception code: 0xc0000005
Fault offset: 0x008924c4
Faulting process id: 0x12e8
Faulting application start time: 0x01d33e3b9cc0f09d
Faulting application path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Report Id: 28832f12-aa36-11e7-a60e-0050569f4f73"
Error,10/6/2017 8:32:32 AM,Application Error,1000,(100),Application,djkvdihost748.jakarta01.com,"Faulting application name: iexplore.exe, version: 11.0.9600.18639, time stamp: 0x58d6bb0d
Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000
Exception code: 0xc0000005
Fault offset: 0x7ff18238
Faulting process id: 0x1b50
Faulting application start time: 0x01d33e42d8656af4
Faulting application path: C:\Program Files\Internet Explorer\iexplore.exe
Faulting module path: unknown
Report Id: 389f6b54-aa36-11e7-91c5-0050569f6f59"
Error,10/6/2017 8:31:50 AM,EventCreate,1,None,Application,djkvdihost416.jakarta01.com,JAKARTA01\AdhiNu  
Error,10/6/2017 8:32:05 AM,EventCreate,1,None,Application,djkvdihost168.jakarta01.com,JAKARTA01\kurniawan  
Error,10/6/2017 8:30:53 AM,EventCreate,1,None,Application,djkvdihost365.jakarta01.com,JAKARTA01\guestisd25  
Error,10/6/2017 8:31:12 AM,EventCreate,1,None,Application,djkvdihost416.jakarta01.com,JAKARTA01\AdhiNu  
Error,10/6/2017 8:30:45 AM,EventCreate,1,None,Application,djkvdihost608.jakarta01.com,JAKARTA01\chandra  
